asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase3_reference,lstm,phase3_reference_lstm,42,0.017043734039920475,0.024355645792908585,-0.0308501648095314,0.4868421052631579,0.6971010550060723,304
BTC,phase3_reference,lstm,phase3_reference_lstm,123,0.01723556035281778,0.024208635766041497,-0.018443353675213103,0.48026315789473684,0.7720180847000842,304
BTC,phase3_reference,lstm,phase3_reference_lstm,2024,0.01686059384995959,0.02423294353398017,-0.0204896080505943,0.506578947368421,0.4317125502652969,304
BTC,phase3_reference,lstm,phase3_reference_lstm,2025,0.016974520519596567,0.024244065807327526,-0.021426577929138935,0.5,0.5228621002394082,304
BTC,phase3_reference,lstm,phase3_reference_lstm,7,0.01691299862664741,0.02413498452975077,-0.012255850180766137,0.4967105263157895,0.568287449734703,304
BTC,phase3_reference,xgb,phase3_reference_xgb,42,0.017553901951312637,0.02485890708828236,-0.07389126072294583,0.5230263157894737,0.2279819152999158,304
BTC,phase3_reference,xgb,phase3_reference_xgb,123,0.017505069942015606,0.0247284889227987,-0.06265283096502028,0.5230263157894737,0.2279819152999158,304
BTC,phase3_reference,xgb,phase3_reference_xgb,2024,0.017879900749130387,0.02521196192565796,-0.10461142552027836,0.5032894736842105,0.47713789976059184,304
BTC,phase3_reference,xgb,phase3_reference_xgb,2025,0.017640039381446492,0.024895672315959107,-0.07707008532074333,0.5164473684210527,0.3028989449939276,304
BTC,phase3_reference,xgb,phase3_reference_xgb,7,0.01744774494805684,0.02468349082953004,-0.05878896002175771,0.506578947368421,0.4317125502652969,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,42,0.01686524425375915,0.024258026012490976,-0.022603231226402398,0.5032894736842105,0.47713789976059184,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,123,0.01729523838940839,0.024927809092862838,-0.07985256905506533,0.4901315789473684,0.6559315415238023,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,2024,0.016733400708921247,0.024138143806190195,-0.012520876691429539,0.4769736842105263,0.8051734469290327,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,2025,0.01683392539730069,0.024253460645148578,-0.022218359012845523,0.4769736842105263,0.8051734469290327,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,7,0.016828728841792498,0.024189565755692345,-0.016839456959380383,0.46710526315789475,0.8858173157079974,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,42,0.0180209618467867,0.025395908064205407,-0.12078868606537974,0.48026315789473684,0.7720180847000842,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,123,0.01793673933099509,0.025080483645960758,-0.09312055282001186,0.5032894736842105,0.47713789976059184,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,2024,0.01813061410229567,0.025468905488246058,-0.1272410853978163,0.4934210526315789,0.6128278898242461,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,2025,0.018025831612086374,0.02538799250967834,-0.12009012617551451,0.4967105263157895,0.568287449734703,304
